year,host_country,format,num_teams,winner,runner_up,third_place,fourth_place,golden_boot_player,golden_boot_goals,start_date,end_date
2002,Korea/Japan,32 teams 8 groups of 4 + knockout,32,Brazil,Germany,Turkey,South Korea,Ronaldo,8,2002-05-31,2002-06-30
2006,Germany,32 teams 8 groups of 4 + knockout,32,Italy,France,Germany,Portugal,Miroslav Klose,5,2006-06-09,2006-07-09
2010,South Africa,32 teams 8 groups of 4 + knockout,32,Spain,Netherlands,Germany,Uruguay,Thomas Muller,5,2010-06-11,2010-07-11
2014,Brazil,32 teams 8 groups of 4 + knockout,32,Germany,Argentina,Netherlands,Brazil,James Rodriguez,6,2014-06-12,2014-07-13
2018,Russia,32 teams 8 groups of 4 + knockout,32,France,Croatia,Belgium,England,Harry Kane,6,2018-06-14,2018-07-15
2022,Qatar,32 teams 8 groups of 4 + knockout,32,Argentina,France,Croatia,Morocco,Kylian Mbappe,8,2022-11-20,2022-12-18
2026,United States/Canada/Mexico,48 teams 12 groups of 4 + knockout,48,,,,,,,2026-06-11,2026-07-19
